Search,Study,Experiment,Dataset,Reference,Type,Culture,Mixed culture species IDs (strains),ID,Strain,Order,Family,Genus,Species,Growth medium,Type of fermentation,Final electron acceptor,Initial pH,Fermentation products listed,(An)aerobic?,Test temp (K),Variable 2,Variable 2 value,Variable 2 units,Variable 3,Variable 3 value,Variable 3 units,Rate_type,Rate,Rate units,1_kT,ln_rate
1,5,5-A,5-A-01,"Cai J, Wu Q, Wang G, Deng C (2013).  Fermentative hydrogen production by new mesophilic bacterium Clostridium sp. 6A-5 isolated from the sludge of a sugar mill.  Renewable Energy 59:202-209.",Fermenter,Pure,,Clostridium sp.,6A-5,Clostridiales,Clostridiaceae,Clostridium,sp.,Primarily glucose,Batch fermentation,,7,,Anaerobic,310,,,,,,,Hydrogen production rate,147.7,ml/Lh,37.43537718,4.99518319
1,5,5-A,5-A-01,"Cai J, Wu Q, Wang G, Deng C (2013).  Fermentative hydrogen production by new mesophilic bacterium Clostridium sp. 6A-5 isolated from the sludge of a sugar mill.  Renewable Energy 59:202-209.",Fermenter,Pure,,Clostridium sp.,6A-5,Clostridiales,Clostridiaceae,Clostridium,sp.,Primarily glucose,Batch fermentation,,7,,Anaerobic,313,,,,,,,Hydrogen production rate,194.3,ml/Lh,37.07657165,5.269403356
1,6,6-A,6-A-01,"Yossan S, O-Thong S, Prasertsan P (2012).  Effect of initial pH, nutrients and temperature on hydrogen production from palm oil mill effluent using thermotolerant consortia and corresponding microbial communities.  Internation Journal of Hydrogen Energy 37(18):13806-13814.",Fermenter,Mixed,"Clostridium, Weissella, and Thermoanaerobacterium",,,,,,,Palm oil mill effluent,Batch fermentation,,6,"Ethanol, acetic acid, propionic acid, butyric acid, hydrogen",Anaerobic,310,,,,,,,Hydrogen production rate,41.91,ml/Lh,37.43537718,3.735524462
1,6,6-A,6-A-01,"Yossan S, O-Thong S, Prasertsan P (2012).  Effect of initial pH, nutrients and temperature on hydrogen production from palm oil mill effluent using thermotolerant consortia and corresponding microbial communities.  Internation Journal of Hydrogen Energy 37(18):13806-13814.",Fermenter,Mixed,"Clostridium, Weissella, and Thermoanaerobacterium",,,,,,,Palm oil mill effluent,Batch fermentation,,6,"Ethanol, acetic acid, propionic acid, butyric acid, hydrogen",Anaerobic,318,,,,,,,Hydrogen production rate,75.99,ml/Lh,36.49360669,4.330601753
1,7,7-A,7-A-01,"Zhao X, Xing DF, Fu N, Liu BF, Ren NQ (2011).  Hydrogen production by the newly isolated Clostridium beijerinckii RZF-1108.  Bioresource Technology 102(18):8432-8436.",Fermenter,Pure,,Clostridium beijerinckii,RZF-1108,Clostridiales,Clostridiaceae,Clostridium,beijerinckii,"Glucose, peptose, yeast extract",Batch fermentation,,,"Hydrogen, ethanol, butanol, acetic acid, butyric acid",Anaerobic,297,,,,,,,Hydrogen production rate,49.2412,ml/g CDW h,39.07396271,3.896730671
1,7,7-A,7-A-01,"Zhao X, Xing DF, Fu N, Liu BF, Ren NQ (2011).  Hydrogen production by the newly isolated Clostridium beijerinckii RZF-1108.  Bioresource Technology 102(18):8432-8436.",Fermenter,Pure,,Clostridium beijerinckii,RZF-1108,Clostridiales,Clostridiaceae,Clostridium,beijerinckii,"Glucose, peptose, yeast extract",Batch fermentation,,,"Hydrogen, ethanol, butanol, acetic acid, butyric acid",Anaerobic,303,,,,,,,Hydrogen production rate,89.8776,ml/g CDW h,38.30022088,4.498448745
1,8,8-A,8-A-01,"Jiao AY, Li YF, Liu B, Liu K, Xe JL (2011).  Characteristics of biohydrogen production by Ethanoligenens sp. R3 isolated from continuous stirred tank reactor.  New Materials and Advanced Materials, Pts. 1 and 2 152-153:702-707.",Fermenter,Pure,,Ethanoligenens sp.,R3,Clostridiales,Clostridiaceae,Ethanoligenens,sp.,"Glucose, peptose, NaCl",Continuous stirred,,,"Hydrogen, ethanol, acetic acid, butyric acid",Anaerobic,297.8676,,,,,,,Hydrogen production rate,3.5276,mmol/g CDW h,38.96015185,1.260617753
1,8,8-A,8-A-01,"Jiao AY, Li YF, Liu B, Liu K, Xe JL (2011).  Characteristics of biohydrogen production by Ethanoligenens sp. R3 isolated from continuous stirred tank reactor.  New Materials and Advanced Materials, Pts. 1 and 2 152-153:702-707.",Fermenter,Pure,,Ethanoligenens sp.,R3,Clostridiales,Clostridiaceae,Ethanoligenens,sp.,"Glucose, peptose, NaCl",Continuous stirred,,,"Hydrogen, ethanol, acetic acid, butyric acid",Anaerobic,302.7178,,,,,,,Hydrogen production rate,6.5722,mmol/g CDW h,38.33592516,1.882848632
1,9,9-A,9-A-01,"Wang YZ, Liao Q, Zhu X, Tian X, Zhang C (2010).  Characteristics of hydrogen production and substrate consumption of Rhodopseudomonas palustris CQK 01 in an immobilized-cell photobioreactor.  Bioresource Technology 101(11):4034-4041.",Fermenter,Pure,,Rhodopseudomonas palustris,CQK 01,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,palustris,,Immobilized cell photobioreactor,,7,Hydrogen (presumably others not listed),Anaerobic,293.0051,Light wavelength,590,nm,,,,Hydrogen production rate,1.0704,mmol/Lh,39.60670625,0.06803241
1,9,9-A,9-A-01,"Wang YZ, Liao Q, Zhu X, Tian X, Zhang C (2010).  Characteristics of hydrogen production and substrate consumption of Rhodopseudomonas palustris CQK 01 in an immobilized-cell photobioreactor.  Bioresource Technology 101(11):4034-4041.",Fermenter,Pure,,Rhodopseudomonas palustris,CQK 01,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,palustris,,Immobilized cell photobioreactor,,7,Hydrogen (presumably others not listed),Anaerobic,297.9481,Light wavelength,590,nm,,,,Hydrogen production rate,1.5627,mmol/Lh,38.94962554,0.446415094
1,9,9-A,9-A-01,"Wang YZ, Liao Q, Zhu X, Tian X, Zhang C (2010).  Characteristics of hydrogen production and substrate consumption of Rhodopseudomonas palustris CQK 01 in an immobilized-cell photobioreactor.  Bioresource Technology 101(11):4034-4041.",Fermenter,Pure,,Rhodopseudomonas palustris,CQK 01,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,palustris,,Immobilized cell photobioreactor,,7,Hydrogen (presumably others not listed),Anaerobic,301.0204,Light wavelength,590,nm,,,,Hydrogen production rate,2.4223,mmol/Lh,38.55209456,0.884717502
1,9,9-B,9-B-01,"Wang YZ, Liao Q, Zhu X, Tian X, Zhang C (2010).  Characteristics of hydrogen production and substrate consumption of Rhodopseudomonas palustris CQK 01 in an immobilized-cell photobioreactor.  Bioresource Technology 101(11):4034-4041.",Fermenter,Pure,,Rhodopseudomonas palustris,CQK 01,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,palustris,,Immobilized cell photobioreactor,,7,Hydrogen (presumably others not listed),Anaerobic,288.0051,Light wavelength,520,nm,,,,Hydrogen production rate,0.1694,mmol/Lh,40.2943105,-1.775492497
1,9,9-B,9-B-01,"Wang YZ, Liao Q, Zhu X, Tian X, Zhang C (2010).  Characteristics of hydrogen production and substrate consumption of Rhodopseudomonas palustris CQK 01 in an immobilized-cell photobioreactor.  Bioresource Technology 101(11):4034-4041.",Fermenter,Pure,,Rhodopseudomonas palustris,CQK 01,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,palustris,,Immobilized cell photobioreactor,,7,Hydrogen (presumably others not listed),Anaerobic,293.0297,Light wavelength,520,nm,,,,Hydrogen production rate,0.3927,mmol/Lh,39.60338125,-0.934709317
1,9,9-B,9-B-01,"Wang YZ, Liao Q, Zhu X, Tian X, Zhang C (2010).  Characteristics of hydrogen production and substrate consumption of Rhodopseudomonas palustris CQK 01 in an immobilized-cell photobioreactor.  Bioresource Technology 101(11):4034-4041.",Fermenter,Pure,,Rhodopseudomonas palustris,CQK 01,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,palustris,,Immobilized cell photobioreactor,,7,Hydrogen (presumably others not listed),Anaerobic,298.0103,Light wavelength,520,nm,,,,Hydrogen production rate,0.6459,mmol/Lh,38.94149607,-0.437110586
1,9,9-B,9-B-01,"Wang YZ, Liao Q, Zhu X, Tian X, Zhang C (2010).  Characteristics of hydrogen production and substrate consumption of Rhodopseudomonas palustris CQK 01 in an immobilized-cell photobioreactor.  Bioresource Technology 101(11):4034-4041.",Fermenter,Pure,,Rhodopseudomonas palustris,CQK 01,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,palustris,,Immobilized cell photobioreactor,,7,Hydrogen (presumably others not listed),Anaerobic,301.0196,Light wavelength,520,nm,,,,Hydrogen production rate,0.8974,mmol/Lh,38.55219702,-0.108253585
1,10,10-A,10-A-01,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,338,,,,,,,Hydrogen production rate,0.27,mmol/Lh,34.33422167,-1.30933332
1,10,10-A,10-A-01,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,343,,,,,,,Hydrogen production rate,0.47,mmol/Lh,33.83372282,-0.755022584
1,10,10-A,10-A-01,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,350,,,,,,,Hydrogen production rate,0.86,mmol/Lh,33.15704836,-0.15082289
1,10,10-A,10-A-02,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,338,,,,,,,Acetate production rate,0.144,mmol/Lh,34.33422167,-1.937941979
1,10,10-A,10-A-02,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,343,,,,,,,Acetate production rate,0.249,mmol/Lh,33.83372282,-1.390302383
1,10,10-A,10-A-02,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,333,,,,,,,Acetate production rate,0.06,mmol/Lh,34.84975053,-2.813410717
1,10,10-A,10-A-03,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,343,,,,,,,Lactate production rate,0.01,mmol/Lh,33.83372282,-4.605170186
1,10,10-A,10-A-03,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,350,,,,,,,Lactate production rate,0.018,mmol/Lh,33.15704836,-4.017383521
1,10,10-A,10-A-03,"Munro SA, Zinder SH, Walker LP (2009).  The fermentation stoichiometry of Thermotoga neapolitana and influence of temperature, oxygen and pH on hydrogen production.  Biotechnology Progress 25(4):1035-1042. ",Fermenter,Pure,,Thermotoga neapolitana,DSM 4359,Thermotogales,Thermotogaceae,Thermotoga,neopolitana,TBYG,Batch fermentation,,7.5,"Hydrogen, acetate, lactate",Anaerobic,358,,,,,,,Lactate production rate,0.026,mmol/Lh,32.41610873,-3.649658741
1,11,11-A,11-A-01,"Lin YH, Juan ML, Hsien HJ (2011).  Effects of temperature and initial pH on biohydrogen production from food-processing wastewater using anaerobic mixed cultures.  Biodegradation 22(3):551-563.",Fermenter,Mixed,"Clostridium pasteurianum, Clostridium intestinale, Clostridium butyricum, Bacillus sp.",,,,,,,Fructose wastewater,Batch fermentation,,,"Hydrogen, acetate, butyrate",Anaerobic,308,,,,,,,Hydrogen production rate,15.9615,ml H2 g/gVSS-h,37.67846404,2.770179573
1,11,11-A,11-A-01,"Lin YH, Juan ML, Hsien HJ (2011).  Effects of temperature and initial pH on biohydrogen production from food-processing wastewater using anaerobic mixed cultures.  Biodegradation 22(3):551-563.",Fermenter,Mixed,"Clostridium pasteurianum, Clostridium intestinale, Clostridium butyricum, Bacillus sp.",,,,,,,Fructose wastewater,Batch fermentation,,,"Hydrogen, acetate, butyrate",Anaerobic,318,,,,,,,Hydrogen production rate,25.4748,ml H2 g/gVSS-h,36.49360669,3.237689728
1,11,11-A,11-A-01,"Lin YH, Juan ML, Hsien HJ (2011).  Effects of temperature and initial pH on biohydrogen production from food-processing wastewater using anaerobic mixed cultures.  Biodegradation 22(3):551-563.",Fermenter,Mixed,"Clostridium pasteurianum, Clostridium intestinale, Clostridium butyricum, Bacillus sp.",,,,,,,Fructose wastewater,Batch fermentation,,,"Hydrogen, acetate, butyrate",Anaerobic,328,,,,,,,Hydrogen production rate,32.4741,ml H2 g/gVSS-h,35.38099673,3.480442849
1,12,12-A,12-A-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,6,Hydrogen,Anaerobic,303,Initial pH,6,,,,,Hydrogen production rate,8.4,,38.30022088,2.128231706
1,12,12-A,12-A-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,6,Hydrogen,Anaerobic,308,Initial pH,6,,,,,Hydrogen production rate,9.7,,37.67846404,2.272125886
1,12,12-B,12-B-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,7,Hydrogen,Anaerobic,303,Initial pH,7,,,,,Hydrogen production rate,9.8,,38.30022088,2.282382386
1,12,12-B,12-B-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,7,Hydrogen,Anaerobic,308,Initial pH,7,,,,,Hydrogen production rate,11.4,,37.67846404,2.433613355
1,12,12-C,12-C-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,8,Hydrogen,Anaerobic,303,Initial pH,8,,,,,Hydrogen production rate,9.1,,38.30022088,2.208274414
1,12,12-C,12-C-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,8,Hydrogen,Anaerobic,308,Initial pH,8,,,,,Hydrogen production rate,10.5,,37.67846404,2.351375257
1,12,12-D,12-D-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,9,Hydrogen,Anaerobic,303,Initial pH,9,,,,,Hydrogen production rate,6.3,,38.30022088,1.840549633
1,12,12-D,12-D-01,"Wang JL, Wan W (2011).  Combined effects of temperature and pH on biohydrogen production by anaerobic digested sludge.  Biomass & Bioenergy 35(9):3896-3901.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,9,Hydrogen,Anaerobic,308,Initial pH,9,,,,,Hydrogen production rate,7.3,,37.67846404,1.987874348
1,13,13-A,13-A-01,"Wang JL, Wan W (2009).  Application of desirability function based on neural network for optimizing biohydrogen production processes.  International Journal of Hydrogen Energy 34(3):1253-1259.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,6,Hydrogen,Anaerobic,303,Initial pH,6,,Glucose concentration,10,g/L,Hydrogen production rate,8.4,,38.30022088,2.128231706
1,13,13-A,13-A-01,"Wang JL, Wan W (2009).  Application of desirability function based on neural network for optimizing biohydrogen production processes.  International Journal of Hydrogen Energy 34(3):1253-1259.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,6,Hydrogen,Anaerobic,308,Initial pH,6,,Glucose concentration,10,g/L,Hydrogen production rate,9.7,,37.67846404,2.272125886
1,13,13-C,13-C-01,"Wang JL, Wan W (2009).  Application of desirability function based on neural network for optimizing biohydrogen production processes.  International Journal of Hydrogen Energy 34(3):1253-1259.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,8,Hydrogen,Anaerobic,303,Initial pH,8,,Glucose concentration,10,g/L,Hydrogen production rate,9.1,,38.30022088,2.208274414
1,13,13-C,13-C-01,"Wang JL, Wan W (2009).  Application of desirability function based on neural network for optimizing biohydrogen production processes.  International Journal of Hydrogen Energy 34(3):1253-1259.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,8,Hydrogen,Anaerobic,308,Initial pH,8,,Glucose concentration,10,g/L,Hydrogen production rate,10.5,,37.67846404,2.351375257
1,13,13-C,13-C-01,"Wang JL, Wan W (2009).  Application of desirability function based on neural network for optimizing biohydrogen production processes.  International Journal of Hydrogen Energy 34(3):1253-1259.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,9,Hydrogen,Anaerobic,303,Initial pH,9,,Glucose concentration,10,g/L,Hydrogen production rate,6.3,,38.30022088,1.840549633
1,13,13-C,13-C-01,"Wang JL, Wan W (2009).  Application of desirability function based on neural network for optimizing biohydrogen production processes.  International Journal of Hydrogen Energy 34(3):1253-1259.",Fermenter,Mixed,,,,,,,,Sludge,Batch fermentation,,9,Hydrogen,Anaerobic,308,Initial pH,9,,Glucose concentration,10,g/L,Hydrogen production rate,7.3,,37.67846404,1.987874348
1,14,14-A,14-A-01,"Oh YK, Seol EH, Kim JR, Park S (2003).  Fermentative biohydrogen production by a new chemoheterotrophic bacterium Citrobacter sp. Y19.  International Journal of Hydrogen Energy 28(12):1353-1359.",Fermenter,Pure,,Citrobacter sp.,Y19,Enterobacteriales,Enterobacteriaceae,Citrobacter,sp.,Yeast and glucose,Batch fermentation,,7,Hydrogen,Anaerobic,298.0115,,,,,,,Hydrogen production rate,6.9679,mmol/g*cell*h,38.94133926,1.941313888
1,14,14-A,14-A-01,"Oh YK, Seol EH, Kim JR, Park S (2003).  Fermentative biohydrogen production by a new chemoheterotrophic bacterium Citrobacter sp. Y19.  International Journal of Hydrogen Energy 28(12):1353-1359.",Fermenter,Pure,,Citrobacter sp.,Y19,Enterobacteriales,Enterobacteriaceae,Citrobacter,sp.,Yeast and glucose,Batch fermentation,,7,Hydrogen,Anaerobic,303.0665,,,,,,,Hydrogen production rate,8.7294,mmol/g*cell*h,38.2918169,2.166696639
1,14,14-A,14-A-01,"Oh YK, Seol EH, Kim JR, Park S (2003).  Fermentative biohydrogen production by a new chemoheterotrophic bacterium Citrobacter sp. Y19.  International Journal of Hydrogen Energy 28(12):1353-1359.",Fermenter,Pure,,Citrobacter sp.,Y19,Enterobacteriales,Enterobacteriaceae,Citrobacter,sp.,Yeast and glucose,Batch fermentation,,7,Hydrogen,Anaerobic,309.015,,,,,,,Hydrogen production rate,12.9693,mmol/g*cell*h,37.55470422,2.562585026
3,16,16-A,16-A-01,"Weimer PJ, Stevenson DM (2012).  Isolation, characterization, and quantification of Clostridium kluyveri from the bovine rumen.  Applied Microbiology and Biotechnology 94(2):461-466.",Fermenter,Pure,,Clostridium kluyveri,NRRL B-59667,Clostridiales,Clostridiaceae,Clostridium,kluyveri,"Ethanol, acetate, succinate, yeast",Batch fermentation,,6.8,"Propionate, butyrate, valerate, caproate, hydrogen",Anaerobic,281.3136,,,,,,,Specific growth,0.0287,/h,41.252776,-3.550858156
3,16,16-A,16-A-01,"Weimer PJ, Stevenson DM (2012).  Isolation, characterization, and quantification of Clostridium kluyveri from the bovine rumen.  Applied Microbiology and Biotechnology 94(2):461-466.",Fermenter,Pure,,Clostridium kluyveri,NRRL B-59667,Clostridiales,Clostridiaceae,Clostridium,kluyveri,"Ethanol, acetate, succinate, yeast",Batch fermentation,,6.8,"Propionate, butyrate, valerate, caproate, hydrogen",Anaerobic,285.8692,,,,,,,Specific growth,0.0428,/h,40.59537343,-3.151217176
